strategy_name,roi,max_drawdown,sharpe_ratio,sortino_ratio,expected_value,num_trades
AlgoFox MultiTF SuperTrend v1.5,36.13%,0.35%,2.459,N/A,434.76,831
Casper SMC 5m ORB Retest,140.41%,10.40%,N/A,N/A,78.01,18
EHMA + Gaussian Scalp,135.00%,44.12%,N/A,N/A,39.36,343
Silver Early Pulse v11.0,23.11%,3.83%,N/A,N/A,35.66,66
TASC 2026.03 One Percent A Week,62.48%,16.00%,0.079,0.191,0.92,544
ma_crossover_9_21,39.86%,-53.86%,0.357,N/A,-3.66,1
rsi_reversal,49.52%,-42.11%,0.595,N/A,10.85,1
macd_crossover,48.52%,-59.01%,0.348,N/A,-5.52,1
bollinger_bands,-1.63%,-7.67%,-0.227,N/A,nan,0
supertrend,0.00%,-0.00%,nan,N/A,nan,0
stochastic_oscillator,27.22%,-50.70%,0.312,N/A,-8.30,1
parabolic_sar,5.18%,-67.66%,0.037,N/A,-3.02,1
rsi_ma_cross,55.81%,-59.13%,0.375,N/A,29.24,1
adx_trend,40.01%,-59.03%,0.310,N/A,-7.02,1
awesome_oscillator,0.00%,-0.00%,nan,N/A,nan,0
price_channel_breakout,0.00%,-0.00%,nan,N/A,nan,0
rsi_oversold_overbought,49.52%,-42.11%,0.595,N/A,10.85,1
ema_pullback,0.00%,-0.00%,nan,N/A,nan,0
One Percent A Week (Feb 2026),-22.97%,-59.45%,-0.396,N/A,N/A,192
RSI + MACD Combo,24.48%,-11.93%,0.922,N/A,N/A,1
RSI Mean Reversion,55.87%,-59.17%,0.374,N/A,N/A,1
ATR Trailing Stop,0.00%,-0.00%,N/A,N/A,N/A,0
EMA Crossover + Trend,51.43%,-63.06%,0.310,N/A,N/A,1
EMA Crossover + Trend,52.72%,-63.07%,0.315,N/A,N/A,1
Supertrend V2,0.00%,-0.00%,N/A,N/A,N/A,0
Donchian Breakout,0.00%,-0.00%,N/A,N/A,N/A,0
Donchian Breakout v2,23.42%,-63.17%,0.148,N/A,N/A,1
Stochastic RSI,52.81%,-59.00%,0.358,N/A,N/A,1
Bollinger Bands Reversion,33.89%,-33.11%,0.502,N/A,N/A,1
VWAP Mean Reversion,33.25%,-43.23%,0.454,N/A,N/A,1
MACD Divergence,50.86%,-58.98%,0.359,N/A,N/A,1
RSI Oversold (Fixed),0.00%,-0.00%,N/A,N/A,N/A,0
RSI Normalized,4623.00%,-62.69%,0.297,N/A,N/A,1
RSI,-11.50%,N/A,N/A,N/A,N/A,24
MACD Crossover,-27.91%,N/A,N/A,N/A,N/A,19
EMA Cross,-6.45%,N/A,N/A,N/A,N/A,11
RSI+MACD,-8.25%,N/A,N/A,N/A,N/A,3
MACD Hist,-27.91%,N/A,N/A,N/A,N/A,19
RSI Oversold,-1.14%,68.06%,N/A,N/A,N/A,21
RSI + Trend (EMA200),55.96%,70.75%,N/A,N/A,N/A,20
MACD Cross,717.39%,90.81%,N/A,N/A,N/A,68
EMA Cross (9/21),1203.46%,93.73%,N/A,N/A,N/A,38
EMA Cross + Trend,1385.43%,95.42%,N/A,N/A,N/A,30
RSI + MACD,47.77%,39.00%,N/A,N/A,N/A,17
Golden Cross (50/200),1183.93%,93.41%,N/A,N/A,N/A,4
Mean Reversion,32.11%,58.64%,N/A,N/A,N/A,36
SuperTrend (from Pine),740.08%,92.25%,N/A,N/A,N/A,26
SuperTrend + RSI Filter,494.54%,89.44%,N/A,N/A,N/A,26
One Percent A Week (TASC),134.66%,76.92%,N/A,N/A,N/A,84
EMA Cross 9/21,1203.46%,93.73%,N/A,N/A,N/A,38
SuperTrend + EMA Trend,898.15%,92.16%,N/A,N/A,N/A,24
RSI Oversold,-1.14%,68.06%,N/A,N/A,N/A,21
RSI + EMA Trend,55.96%,70.75%,N/A,N/A,N/A,20
Golden Cross 50/200,1183.93%,93.41%,N/A,N/A,N/A,4
